Disease,Symptoms,Severity,Description,Precautions
Scurvy,bleeding_gums;weakness;joint_pain;fatigue,Mild,Vitamin C deficiency affecting collagen synthesis. Causes gum bleeding and poor wound healing.,Eat citrus fruits;Vitamin C supplements
Hypercholesterolemia,high_cholesterol;fatigue;chest_pain,Chronic,Elevated blood cholesterol increasing risk of heart attack. Often linked with poor diet and genetics.,Diet control;Exercise;Medication
Breast Cancer,lump_in_breast;pain;fatigue;weight_loss,Severe,"A malignant tumor in breast tissue, often detected as a lump or skin dimpling. Early detection greatly improves outcomes.",Self-examination;Regular screening;Oncology treatment
Lung Cancer,cough;chest_pain;shortness_of_breath;weight_loss,Severe,A cancer starting in lung tissue often linked with smoking or pollutants. Persistent cough and fatigue are early signs.,Avoid smoking;CT scan screening;Chemotherapy
Colon Cancer,blood_in_stool;fatigue;abdominal_pain;weight_loss,Severe,Cancer of the large intestine that grows silently for years. Detected through colonoscopy and biopsy.,High-fiber diet;Screening tests;Surgery
Pancreatic Cancer,abdominal_pain;jaundice;weight_loss;fatigue,Severe,"A deadly cancer with few early symptoms, often discovered late. It affects digestion and liver function.",Avoid smoking;Healthy diet;Early testing if family history
Liver Cancer,jaundice;abdominal_pain;fatigue;weight_loss,Severe,A cancer that develops from chronic hepatitis or cirrhosis. Causes yellowing of skin and upper-abdominal pain.,Avoid alcohol;Hepatitis prevention;Oncology care
Leukemia,fever;fatigue;bruising;weight_loss,Severe,"A cancer of blood-forming tissues, disrupting white blood cell function. Leads to frequent infections and bleeding.",Chemotherapy;Bone marrow transplant;Regular blood tests
Lymphoma,swollen_lymph_nodes;fever;night_sweats;fatigue,Severe,Cancer of lymphatic system causing immune dysfunction. Symptoms include painless lymph node swelling and fever.,Chemotherapy;Radiation;Medical monitoring
Skin Cancer,skin_lesion;itching;bleeding_mole;discoloration,Severe,Abnormal skin cell growth due to UV exposure. Early recognition of changing moles is crucial.,Avoid sun;Use sunscreen;Dermatologist check
Down Syndrome,flat_face;learning_difficulty;delayed_growth,Chronic,A chromosomal disorder (Trisomy 21) causing intellectual disability and distinctive features. Early therapy improves development.,Speech therapy;Special education;Medical follow-up
Cystic Fibrosis,cough;shortness_of_breath;salty_skin;weight_loss,Chronic,A genetic disorder affecting mucus glands and lungs. Leads to chronic lung infections and poor digestion.,Airway clearance;Antibiotics;High-calorie diet
Sickle Cell Anemia,fatigue;pain;fever;yellow_skin,Chronic,Inherited blood disorder causing abnormally shaped red blood cells. Results in pain crises and anemia.,Hydration;Pain relief;Avoid cold
Hemophilia,excessive_bleeding;bruising;joint_pain,Severe,Genetic clotting disorder causing prolonged bleeding. Mostly affects males due to X-linked mutation.,Avoid injuries;Clotting factor therapy
Thalassemia,fatigue;pale_skin;weakness;enlarged_spleen,Chronic,A hereditary anemia causing reduced hemoglobin production. Requires lifelong blood transfusion in severe forms.,Regular transfusion;Iron chelation;Genetic counseling
Turner Syndrome,short_stature;infertility;swelling;heart_defects,Chronic,A genetic disorder in females missing one X chromosome. Causes growth delay and infertility.,Hormone therapy;Heart monitoring;Supportive care
Klinefelter Syndrome,tall_stature;infertility;fatigue;learning_difficulty,Chronic,Genetic condition in males with extra X chromosome. Leads to low testosterone and learning issues.,Testosterone therapy;Counseling;Regular check-ups
Marfan Syndrome,tall_build;joint_pain;chest_pain;vision_problems,Chronic,A connective tissue disorder affecting heart and eyes. People are tall and at risk of aortic rupture.,Avoid heavy exercise;Heart monitoring;Genetic counseling
Albinism,white_hair;light_skin;poor_vision;sensitivity_to_light,Chronic,Inherited condition with lack of melanin pigment. Affects skin protection and vision.,Avoid sun exposure;Use sunglasses;Skin protection
Fragile X Syndrome,learning_difficulty;anxiety;behavioral_problems,Chronic,"A genetic cause of intellectual disability, more common in males. It may present with hyperactivity and speech delay.",Behavioral therapy;Special education;Family support
Cataract,blurred_vision;glare;poor_night_vision,Moderate,Clouding of the eye lens causing gradual vision loss. Surgery restores normal sight.,Wear sunglasses;Regular eye exams;Surgery if needed
Glaucoma,blurred_vision;eye_pain;headache;halos_around_lights,Severe,Increased eye pressure damages optic nerve. Leads to permanent vision loss if untreated.,Eye drops;Regular eye check;Surgery in severe cases
Conjunctivitis,red_eyes;itching;watering;swelling,Mild,"Also called pink eye, it’s inflammation of the eye membrane. Caused by infection or allergy.",Avoid touching eyes;Use prescribed drops;Maintain hygiene
Macular Degeneration,blurred_vision;distorted_vision;central_blind_spot,Chronic,Aging-related damage to retina’s center (macula). It causes progressive vision loss in older adults.,Healthy diet;Avoid smoking;Eye supplements
Retinal Detachment,flashes_of_light;vision_loss;floaters,Severe,Separation of retina from its layer leading to blindness. Requires emergency surgery.,Seek immediate care;Avoid heavy activity;Eye protection
Otitis Media,ear_pain;hearing_loss;fever;irritability,Moderate,Middle ear infection common in children. Causes pain and fluid buildup behind the eardrum.,Pain relief;Keep ears dry;Antibiotics if bacterial
Otitis Externa,itching;ear_pain;discharge;swelling,Mild,Infection of outer ear canal caused by moisture (swimmer’s ear). It leads to itching and pain.,Avoid water;Use ear drops;Keep ear clean
Tinnitus,ringing_in_ears;hearing_loss;irritability,Chronic,A persistent ringing or buzzing in the ears without external sound. Often caused by loud noise exposure.,Avoid loud noise;Relaxation techniques;Hearing test
Meniere’s Disease,dizziness;ringing_ears;hearing_loss;nausea,Chronic,Inner ear disorder causing vertigo and hearing loss. Attacks may last hours and cause imbalance.,Low-salt diet;Avoid caffeine;Medication
Color Blindness,difficulty_distinguishing_colors;eye_strain,Chronic,Inherited condition affecting color perception. Commonly red-green color blindness in men.,Color aids;Avoid confusion in labeling;Genetic counseling
Sjögren’s Syndrome,dry_mouth;dry_eyes;fatigue;joint_pain,Chronic,An autoimmune disorder affecting tear and saliva glands. Causes dryness and discomfort in mouth and eyes.,Stay hydrated;Eye drops;Medication
Vasculitis,fever;rash;joint_pain;fatigue,Severe,Inflammation of blood vessels reducing blood flow. It can damage organs if untreated.,Steroids;Avoid infection;Medical care
Autoimmune Hepatitis,abdominal_pain;jaundice;fatigue;dark_urine,Chronic,The immune system attacks liver cells causing inflammation. Early treatment prevents cirrhosis.,Medication;Avoid alcohol;Regular liver function tests
Guillain-Barré Syndrome,weakness;numbness;paralysis;tingling,Severe,A rare condition where the immune system attacks nerves. It can cause paralysis and respiratory failure.,Hospitalization;IV therapy;Physiotherapy
Autoimmune Thyroiditis,fatigue;hair_loss;weight_gain;cold_intolerance,Chronic,The immune system attacks thyroid tissue leading to hypothyroidism. Common in middle-aged women.,Medication;Monitor TSH;Balanced diet
Sickle Cell Disease,joint_pain;fever;fatigue;yellow_skin,Chronic,Red cells assume a sickle shape blocking blood flow. Causes pain crises and organ damage.,Hydration;Avoid cold;Pain relief
Polycythemia,headache;dizziness;fatigue;itching,Chronic,Abnormal increase in red blood cells thickens blood. Raises risk of stroke or clots.,Hydration;Blood removal;Medication
Thrombocytopenia,bruising;bleeding;fatigue;nosebleeds,Moderate,Low platelet count leading to easy bleeding. Often caused by infection or drugs.,Avoid injury;Monitor counts;Doctor care
Myeloma,bone_pain;fatigue;weakness;frequent_infections,Severe,A cancer of plasma cells in bone marrow. Leads to brittle bones and kidney issues.,Chemotherapy;Pain control;Hydration
Iron Overload,abdominal_pain;fatigue;dark_skin;joint_pain,Chronic,Excess iron storage in body tissues damages liver and heart. Usually genetic (hemochromatosis).,Limit red meat;Blood removal;Doctor monitoring
Influenza,fever;cough;headache;fatigue;chills,Moderate,A contagious viral infection affecting the respiratory system. Symptoms resemble cold but with higher fever and body pain.,Rest;Hydration;Antiviral medication
Respiratory Syncytial Virus (RSV),fever;cough;wheezing;runny_nose,Moderate,A viral infection common in infants causing bronchiolitis. It spreads through droplets and close contact.,Hydration;Rest;Avoid cold air
Hepatitis A,fever;jaundice;fatigue;abdominal_pain;nausea,Moderate,A liver infection caused by contaminated food or water. It’s preventable with vaccination.,Hand hygiene;Safe water;Vaccination
Hepatitis E,fever;jaundice;nausea;vomiting;fatigue,Moderate,A waterborne viral infection affecting the liver. Common in developing countries with poor sanitation.,Safe drinking water;Handwashing
Dengue Fever,fever;rash;joint_pain;fatigue;headache;muscle_pain,Severe,A mosquito-borne viral illness causing low platelets and bleeding risk. Severe dengue can be life-threatening.,Hydration;Monitor platelets;Avoid mosquitoes
Ebola Virus,fever;vomiting;bleeding;fatigue;diarrhea,Severe,A severe hemorrhagic fever with high fatality. It spreads through direct contact with body fluids.,Isolation;Protective gear;Supportive care
Herpes Simplex,blisters;itching;burning_pain;fever,Moderate,A viral infection causing painful blisters around mouth or genitals. It remains dormant and can reactivate.,Antiviral therapy;Avoid skin contact during outbreak
Rubella,fever;rash;swollen_glands;joint_pain,Mild,"A mild viral infection with pink rash, dangerous in pregnancy. Preventable through MMR vaccination.",Vaccination;Avoid contact with pregnant women
Leprosy,skin_lesions;numbness;weakness;fatigue,Chronic,A chronic bacterial infection affecting skin and nerves. Curable with multidrug therapy if detected early.,Regular treatment;Avoid close contact
Pertussis,severe_cough;vomiting;runny_nose;fatigue,Moderate,"Also known as whooping cough, a respiratory bacterial disease. Dangerous in infants and unvaccinated people.",Vaccination;Antibiotics;Rest
Cholera,diarrhea;vomiting;dehydration;fatigue,Severe,"A bacterial infection from contaminated water causing severe dehydration. Without treatment, it’s fatal.",ORS;Clean water;Rehydration therapy
Scarlet Fever,fever;rash;sore_throat;red_tongue,Moderate,A bacterial illness caused by Streptococcus infection. It commonly affects children after strep throat.,Antibiotics;Rest;Hydration
MRSA Infection,boils;pus;fever;pain,Severe,Methicillin-resistant Staphylococcus aureus causes skin and wound infections. It’s resistant to many antibiotics.,Hygiene;Doctor consultation;Avoid sharing towels
Lyme Disease,fever;rash;joint_pain;fatigue,Moderate,A bacterial infection spread by tick bites. It can affect joints and nervous system if untreated.,Avoid tick bites;Antibiotics
Meningococcal Meningitis,fever;headache;stiff_neck;vomiting,Severe,A bacterial infection of membranes covering brain and spine. Rapid treatment is crucial to prevent death.,Antibiotics;Vaccination;Hydration
Candidiasis,itching;white_patches;burning;discomfort,Moderate,"Yeast infection caused by Candida, affecting mouth or genitals. Common in diabetes or antibiotic use.",Antifungal treatment;Maintain hygiene
Ringworm,itchy_rash;red_patches;scaling;hair_loss,Mild,A fungal skin infection forming circular rashes. Highly contagious through contact or towels.,Antifungal cream;Avoid sharing clothes
Athlete’s Foot,itching;peeling_skin;redness;odor,Mild,Fungal infection between toes due to moisture. Common in athletes or tight shoes.,Keep feet dry;Antifungal spray;Foot hygiene
Nail Fungus,thick_nails;discoloration;fragility,Mild,Fungal infection under nails causing thickening and breakage. Slow to heal but treatable.,Antifungal lacquer;Trim nails;Avoid damp shoes
Oral Thrush,white_patches;tongue_pain;dry_mouth,Moderate,Fungal infection of the mouth caused by Candida. Common in immunocompromised individuals.,Antifungal lozenges;Oral hygiene
Histoplasmosis,fever;cough;fatigue;chest_pain,Severe,Fungal infection from soil contaminated with bird droppings. Affects lungs and can spread to organs.,Avoid dust;Antifungal drugs;Medical care
Aspergillosis,cough;fever;shortness_of_breath;fatigue,Severe,Lung infection caused by inhaling Aspergillus spores. Dangerous in people with weak immunity.,Avoid moldy areas;Medication;Monitor lungs
Amoebiasis,diarrhea;stomach_pain;fever;fatigue,Moderate,Parasitic intestinal infection by Entamoeba histolytica. Causes bloody diarrhea and cramps.,Clean water;Hygiene;Medication
Giardiasis,diarrhea;gas;cramps;bloating,Mild,An intestinal infection caused by Giardia parasite. Spread by contaminated water or food.,Boil water;Avoid uncooked food
Toxoplasmosis,fever;fatigue;swollen_nodes;headache,Moderate,Parasitic infection often spread by cats or undercooked meat. Dangerous in pregnancy.,Cook meat well;Avoid cat litter;Medication
Schistosomiasis,fever;abdominal_pain;bloody_urine;fatigue,Severe,A waterborne parasitic disease caused by flukes. Common in tropical regions with stagnant water.,Avoid swimming in lakes;Medication
Tapeworm Infection,abdominal_pain;nausea;weight_loss;weakness,Moderate,Intestinal parasite from contaminated meat. Causes malnutrition and discomfort.,Cook meat properly;Deworming tablets
Pinworm Infection,itching_anus;restlessness;sleep_disturbance,Mild,"Common in children, causes anal itching due to worm eggs. Easily spreads through contaminated hands.",Handwashing;Trim nails;Medication
Leishmaniasis,fever;weight_loss;skin_ulcers;fatigue,Severe,"Parasitic infection spread by sandfly bites. It affects skin, spleen, and liver.",Mosquito nets;Medication;Avoid bites
Tonsillitis,sore_throat;fever;difficulty_swallowing;cough,Moderate,Inflammation of tonsils caused by viral or bacterial infection. Common in school-age children.,Salt gargle;Antibiotics if bacterial
Pharyngitis,throat_pain;fever;dry_cough;fatigue,Mild,Inflammation of the throat usually viral. Causes irritation and pain when swallowing.,Warm fluids;Rest;Avoid cold drinks
Rhinitis,runny_nose;sneezing;itching;congestion,Mild,Inflammation of nasal mucosa due to allergy or infection. Common in seasonal allergies.,Avoid allergens;Antihistamines;Nasal spray
Huntington’s Disease,memory_loss;involuntary_movements;irritability,Chronic,An inherited neurodegenerative disease that affects movement and cognition. Symptoms worsen gradually over years.,Genetic counseling;Supportive care
Muscular Dystrophy,muscle_weakness;fatigue;walking_difficulty,Chronic,A group of inherited diseases causing progressive muscle degeneration. Often starts in childhood.,Physiotherapy;Braces;Supportive care
Phenylketonuria (PKU),mental_retardation;seizures;skin_rash;musty_odor,Chronic,"A metabolic genetic disorder where the body can’t process phenylalanine. Untreated, it leads to brain damage.",Low-protein diet;Early screening
Tay-Sachs Disease,weakness;seizures;vision_loss;developmental_delay,Severe,A rare inherited disorder destroying nerve cells in the brain. It’s fatal in early childhood.,Genetic counseling;Supportive care
Amyloidosis,fatigue;swelling;weight_loss;tingling,Chronic,"Abnormal protein deposits (amyloid) build up in organs. It affects the heart, kidneys, and nerves.",Medication;Monitor organ function
Wilson’s Disease,jaundice;fatigue;tremors;personality_change,Chronic,A rare inherited liver disease causing copper buildup. It affects brain and liver function.,Low-copper diet;Medication;Monitor liver
Gaucher’s Disease,enlarged_spleen;fatigue;bone_pain;bruising,Chronic,A genetic enzyme deficiency causing fat accumulation in organs. Causes anemia and bone pain.,Enzyme replacement;Medical therapy
Hemochromatosis,fatigue;joint_pain;dark_skin;abdominal_pain,Chronic,Inherited condition causing excessive iron absorption. Iron deposits damage organs over time.,Blood removal;Avoid iron supplements
Ehlers-Danlos Syndrome,joint_hyperflexibility;skin_fragility;bruising,Chronic,A connective tissue disorder making skin stretchy and fragile. Increases risk of dislocation and bleeding.,Avoid trauma;Supportive care
Multiple Myeloma,bone_pain;fatigue;weakness;frequent_infections,Severe,A cancer of plasma cells affecting bones and kidneys. Causes brittle bones and anemia.,Chemotherapy;Pain control;Hydration
Melanoma,mole_change;itching;bleeding;fatigue,Severe,A serious skin cancer developing from moles. Early detection ensures high survival rate.,Use sunscreen;Skin screening
Basal Cell Carcinoma,skin_lesion;redness;scaly_patch;bleeding,Mild,Most common skin cancer caused by UV exposure. Rarely spreads but causes local damage.,Avoid sun;Dermatologist check
Squamous Cell Carcinoma,skin_ulcer;bleeding;painful_lesion,Moderate,A skin cancer growing in outer layers due to UV or radiation. Can spread to lymph nodes if ignored.,Surgery;Avoid sun;Regular screening
Thyroid Cancer,neck_swelling;voice_change;fatigue;weight_loss,Severe,A tumor in the thyroid gland often detected as a neck lump. Early stages are curable.,Surgery;Hormone therapy
Bladder Cancer,blood_in_urine;fatigue;pelvic_pain,Severe,Malignant tumor in bladder lining causing urinary symptoms. Often linked to smoking or chemicals.,Hydration;Avoid tobacco;Surgery
Bone Cancer,bone_pain;swelling;fatigue;weakness,Severe,Cancer originating in bone tissue causing persistent pain. Requires chemotherapy and surgery.,Pain relief;Rehab;Oncology care
Type 2 Diabetes,excessive_thirst;fatigue;blurred_vision;frequent_urination,Chronic,Metabolic disorder where the body resists insulin. Leads to nerve and kidney damage over time.,Diet management;Medication;Exercise
Type 1 Diabetes,frequent_urination;weight_loss;thirst;fatigue,Chronic,Autoimmune destruction of insulin-producing cells. Usually diagnosed in children or young adults.,Insulin therapy;Blood sugar monitoring
High Cholesterol,chest_pain;fatigue;dizziness,Chronic,Excess cholesterol builds up in arteries increasing heart disease risk. It’s often symptomless until severe.,Diet change;Exercise;Medication
Polycystic Ovary Syndrome (PCOS),irregular_periods;acne;weight_gain;hair_loss,Chronic,Hormonal disorder in women causing irregular cycles and infertility. Linked to insulin resistance.,Diet control;Exercise;Medication
Sleep Apnea,snoring;fatigue;morning_headache;breath_stopping,Moderate,Breathing repeatedly stops during sleep causing poor oxygenation. Linked to obesity and airway blockage.,Use CPAP;Weight control;Avoid alcohol
GERD (Acid Reflux),heartburn;chest_pain;nausea;vomiting,Chronic,Stomach acid flows back into the esophagus causing burning. Worsened by fatty food or late meals.,Eat small meals;Avoid spicy foods;Don’t lie after eating
Chronic Fatigue Syndrome,fatigue;sleep_disturbance;memory_loss;muscle_pain,Chronic,A long-term disorder causing extreme tiredness not relieved by rest. Exact cause remains unknown.,Stress reduction;Balanced diet;Gradual exercise
Coronary Artery Disease,chest_pain;fatigue;shortness_of_breath;dizziness,Severe,Blockage of coronary arteries causing decreased blood supply to heart. Major risk factor for heart attack.,Avoid smoking;Exercise;Healthy diet
Myocardial Infarction,chest_pain;sweating;nausea;breathlessness,Severe,Also known as heart attack — caused by sudden artery blockage. Immediate medical attention is life-saving.,Call emergency;Rest;Aspirin if prescribed
Congestive Heart Failure,breathlessness;swelling;fatigue;cough,Severe,Heart's pumping ability weakens leading to fluid buildup in lungs or legs. Often follows hypertension or heart attack.,Salt restriction;Medication;Monitor weight
Chronic Obstructive Pulmonary Disease (COPD),cough;breathlessness;phlegm;fatigue,Chronic,A progressive lung disease mostly caused by smoking. Includes chronic bronchitis and emphysema.,Avoid smoking;Inhalers;Oxygen therapy
Pulmonary Fibrosis,shortness_of_breath;dry_cough;fatigue,Chronic,Scarring of lung tissue making breathing difficult. Can result from toxins or autoimmune disorders.,Avoid dust;Oxygen therapy;Medication
Emphysema,breathlessness;cough;fatigue;weight_loss,Chronic,Destruction of lung alveoli due to smoking or pollutants. Causes chronic oxygen deficiency.,Quit smoking;Inhaler;Pulmonary rehab
Bronchiectasis,chronic_cough;phlegm;fever;fatigue,Chronic,Permanent widening of bronchi leading to frequent infections. Causes persistent cough with mucus.,Physiotherapy;Antibiotics;Hydration
Pleural Effusion,shortness_of_breath;chest_pain;cough,Severe,Fluid buildup between lung layers compressing the lungs. Usually secondary to infection or cancer.,Drain fluid;Treat cause;Avoid lying flat
Pneumothorax,sharp_chest_pain;shortness_of_breath;cough,Severe,Collapsed lung due to air leakage into pleural space. Can occur spontaneously or from trauma.,Emergency care;Oxygen therapy
Chronic Kidney Disease,fatigue;swelling;urine_change;nausea,Chronic,Gradual loss of kidney function leading to toxin buildup. Often caused by diabetes or hypertension.,Low-protein diet;Dialysis;Monitor creatinine
Acute Kidney Injury,decreased_urine;fatigue;nausea;swelling,Severe,"Sudden kidney failure due to dehydration, infection, or drugs. Potentially reversible if treated early.",IV fluids;Avoid toxins;Hospital care
Glomerulonephritis,swelling;blood_in_urine;fatigue;fever,Severe,Inflammation of kidney filters caused by infection or autoimmune disease. Leads to fluid retention and high BP.,Medication;Monitor BP;Rest
Nephrotic Syndrome,swelling;fatigue;foamy_urine;loss_of_appetite,Severe,Kidney disorder causing protein loss in urine. Common in children and diabetics.,Low-salt diet;Steroids;Medical follow-up
Polycystic Kidney Disease,back_pain;swelling;fatigue;frequent_urination,Chronic,Inherited disorder where fluid-filled cysts form in kidneys. Causes progressive kidney failure.,Monitor BP;Hydration;Avoid injury
Urinary Tract Infection,frequent_urination;burning_urination;fever;pelvic_pain,Moderate,"Bacterial infection in urinary tract, common in females. Causes burning and lower abdominal pain.",Antibiotics;Hydration;Hygiene
Interstitial Cystitis,bladder_pain;urgency;frequency;fatigue,Chronic,Chronic bladder inflammation without infection. Causes persistent pelvic pain and urinary frequency.,Avoid caffeine;Hydration;Medication
Renal Failure,fatigue;swelling;confusion;urine_change,Severe,End-stage loss of kidney function leading to toxin accumulation. Requires dialysis or transplant.,Dialysis;Monitor diet;Doctor supervision
Hydronephrosis,flank_pain;nausea;frequent_urination,Moderate,Swelling of kidneys due to urine backup. Usually caused by stones or obstruction.,Treat cause;Hydration;Monitor kidney
Pyelonephritis,fever;back_pain;nausea;chills,Severe,Bacterial infection of kidneys spreading from bladder. Can cause sepsis if untreated.,Antibiotics;Hydration;Rest
Raynaud’s Disease,blue_fingers;cold_intolerance;numbness;pain,Moderate,Abnormal narrowing of small blood vessels in fingers due to cold. Common in autoimmune disorders.,Keep warm;Avoid stress;No smoking
Thrombophlebitis,swelling;pain;redness;warmth,Moderate,Inflammation of veins with clot formation. Common in varicose veins or prolonged immobility.,Elevation;Compression;Anticoagulants
Lymphedema,swelling;heaviness;infection_risk,Chronic,Fluid buildup due to lymphatic obstruction. Can follow cancer surgery or infection.,Compression therapy;Exercise;Skin care
Septicemia,fever;chills;confusion;low_BP,Severe,Life-threatening bloodstream infection spreading from other organs. Requires urgent antibiotics.,Hospitalization;IV fluids;Monitor vitals
Shock,low_BP;confusion;weak_pulse;pale_skin,Severe,"Sudden drop in blood flow due to trauma, infection, or allergy. Leads to organ failure if untreated.",Emergency care;IV fluids;Treat cause
Amyotrophic Lateral Sclerosis (ALS),muscle_weakness;cramps;slurred_speech;fatigue,Severe,A progressive neurodegenerative disease that destroys motor neurons. Causes loss of muscle control and breathing difficulty.,Physiotherapy;Respiratory support;Assistive devices
Multiple System Atrophy,stiffness;balance_loss;slurred_speech;low_BP,Severe,A rare neurodegenerative disorder combining Parkinson-like and autonomic symptoms.,Medication;Physiotherapy;Supportive care
Kyphosis,hunchback;back_pain;stiffness;fatigue,Moderate,Excessive forward curvature of upper spine. Caused by poor posture or osteoporosis.,Physiotherapy;Core strengthening
Lordosis,lower_back_pain;poor_posture;muscle_tightness,Moderate,Inward curvature of lower spine due to muscle imbalance. Improves with stretching and strengthening.,Posture correction;Exercise
Paget’s Disease,bone_pain;deformity;hearing_loss;fatigue,Chronic,"Abnormal bone remodeling leading to enlarged and weak bones. Affects pelvis, spine, and skull.",Medication;Physical therapy
Pituitary Tumor,headache;vision_loss;fatigue;hormone_imbalance,Severe,Abnormal growth in pituitary gland affecting hormone levels. May cause infertility or acromegaly.,Surgery;Hormone therapy;Follow-up
Polycystic Ovary Syndrome,irregular_periods;acne;weight_gain;infertility,Chronic,Hormonal imbalance causing cysts on ovaries and insulin resistance. Affects fertility and mood.,Diet;Exercise;Hormonal therapy
Menopause,hot_flashes;irritability;insomnia;fatigue,Moderate,Natural decline of female hormones ending menstrual cycle. Can cause mood and sleep changes.,Hormone therapy;Healthy lifestyle;Cool environment
Premenstrual Syndrome,abdominal_pain;mood_swings;fatigue;headache,Mild,Physical and emotional symptoms before menstruation. Related to hormonal fluctuations.,Balanced diet;Hydration;Exercise
Hyperprolactinemia,irregular_periods;milk_discharge;infertility;headache,Moderate,High prolactin levels due to pituitary dysfunction. Can cause infertility and visual disturbances.,Medication;MRI check;Endocrine care
Chronic Back Pain,lower_back_pain;stiffness;fatigue;numbness,Chronic,Persistent spinal pain due to injury or poor posture. Common occupational issue.,Posture correction;Stretching;Pain therapy
Cervical Radiculopathy,neck_pain;arm_pain;numbness;tingling,Moderate,Nerve compression in cervical spine radiating pain to arm and shoulder.,Physiotherapy;Avoid strain;Medication
Plantar Fasciitis,heel_pain;stiffness;swelling;fatigue,Moderate,Inflammation of plantar tissue under foot causing sharp heel pain. Common in runners.,Stretching;Proper footwear;Rest
Fibromyalgia Syndrome,body_pain;fatigue;sleep_problems;memory_issue,Chronic,Widespread pain disorder involving muscles and soft tissues. Often overlaps with anxiety or depression.,Relaxation;Exercise;Sleep therapy
Chronic Regional Pain Syndrome,burning_pain;swelling;color_change;stiffness,Chronic,Nerve dysfunction causing severe pain after injury or surgery. Pain is disproportionate to trauma.,Pain management;Desensitization therapy
Temporomandibular Joint Disorder,jaw_pain;clicking_sound;headache;ear_pain,Moderate,Jaw joint inflammation leading to chewing difficulty and ear pain.,Soft diet;Stress control;Mouth guard
Allergic Rhinitis,sneezing;runny_nose;itchy_eyes;congestion,Mild,An allergic reaction to dust or pollen causing nasal inflammation. Symptoms peak during seasonal changes.,Avoid allergens;Antihistamines;Wear mask
Psoriasis,scaling;itching;red_patches;dry_skin,Chronic,Autoimmune skin disorder causing scaly plaques. Common on elbows and scalp.,Moisturizer;Avoid triggers;Topical therapy
Drug Allergy,rash;itching;swelling;breathing_difficulty,Severe,Immune overreaction to medication causing hives or anaphylaxis. Requires urgent medical attention.,Stop medication;Antihistamines;Seek emergency care
Food Allergy,itching;swelling;vomiting;breathing_difficulty,Severe,Immune system reaction to certain foods like nuts or seafood. Can lead to anaphylaxis if untreated.,Avoid allergens;Carry epinephrine;Doctor supervision
Anaphylaxis,swelling;breathing_difficulty;low_BP;hives,Critical,Severe systemic allergic reaction causing airway closure. Immediate treatment with adrenaline is vital.,Epinephrine injection;Emergency care;Avoid triggers
Myelodysplastic Syndrome,fatigue;infections;bruising;fever,Severe,Pre-leukemic condition causing abnormal bone marrow cell production. Progresses to anemia and weakness.,Transfusion;Medication;Monitoring
Hodgkin’s Lymphoma,swollen_lymph_nodes;fever;weight_loss;sweating,Severe,Type of blood cancer with abnormal lymphocyte growth. High cure rate with early therapy.,Chemotherapy;Radiation;Healthy diet
Non-Hodgkin’s Lymphoma,fever;fatigue;enlarged_nodes;night_sweats,Severe,Group of lymphatic cancers with variable progression. Detected by biopsy and imaging.,Medication;Chemotherapy;Rest
Typhoid,fever;headache;abdominal_pain;nausea,Severe,Bacterial infection spread by contaminated food and water. Causes prolonged high fever.,Avoid street food;Antibiotics;Hydration
Filariasis,swelling;fever;fatigue;itching,Chronic,Parasitic infection transmitted by mosquitoes causing limb swelling. Common in tropical areas.,Mosquito protection;Medication;Hygiene
Kala-Azar (Leishmaniasis),fever;weight_loss;enlarged_spleen;fatigue,Severe,Parasitic disease spread by sandflies affecting liver and spleen. Fatal if untreated.,Antiparasitic drugs;Avoid sandflies
African Trypanosomiasis,sleep_disturbance;fever;confusion;weakness,Severe,Also known as sleeping sickness — transmitted by tsetse flies. Affects nervous system and causes coma.,Antiparasitic therapy;Vector control
Onchocerciasis,itching;skin_rash;vision_loss,Chronic,River blindness caused by parasitic worms spread by flies. Causes skin and eye lesions.,Antiparasitic drugs;Avoid river exposure
Marburg Virus,fever;bleeding;vomiting;weakness,Critical,Deadly viral infection similar to Ebola. Causes severe hemorrhage and organ failure.,Isolation;Hydration;Medical emergency
Anthrax,fever;cough;skin_ulcer;breathing_difficulty,Severe,Bacterial infection from animal products or inhalation. Can be fatal if untreated.,Vaccination;Antibiotics;Avoid animal contact
Brucellosis,fever;joint_pain;sweating;fatigue,Moderate,Bacterial infection from unpasteurized dairy or animals. Causes chronic fever and muscle pain.,Avoid raw dairy;Antibiotics
Nipah Virus,fever;confusion;seizures;respiratory_distress,Critical,Deadly zoonotic virus affecting brain and lungs. Transmitted from bats or pigs.,Avoid bats;Isolation;Hospital management
