Disease,Symptoms,Severity,Description,Precautions
Yellow Fever,fever;jaundice;muscle_pain;vomiting,Severe,"A mosquito-transmitted viral infection affecting liver and kidneys. Vaccination offers lifelong protection.","Vaccination;Hydration;Avoid mosquitoes"

# ------------------ METABOLIC & NUTRITIONAL ------------------
Vitamin D Deficiency,fatigue;bone_pain;weakness;depression,Mild,"Low vitamin D impairs calcium absorption and bone health. It can cause rickets in children or osteomalacia in adults.","Sun exposure;Vitamin D supplements;Balanced diet"
Iron Deficiency,fatigue;pale_skin;dizziness;headache,Moderate,"Low iron intake or blood loss reduces hemoglobin levels. It causes tiredness and poor concentration.","Iron-rich diet;Supplements;Regular check-ups"
Calcium Deficiency,muscle_cramps;numbness;weak_bones;tingling,Mild,"Insufficient calcium weakens bones and affects nerves. Long-term deficiency may lead to osteoporosis.","Consume dairy;Vitamin D intake;Exercise"
Protein Deficiency,fatigue;weight_loss;weakness;hair_loss,Moderate,"Inadequate protein intake leads to muscle wasting and poor immunity. Common in malnutrition or chronic illness.","Eat legumes, eggs, meat;Balanced meals"
Kwashiorkor,swelling;fatigue;irritability;skin_peeling,Severe,"Severe protein deficiency in children causing edema and stunted growth. Common in famine-hit areas.","Protein-rich diet;Gradual feeding;Medical supervision"
Marasmus,weight_loss;weakness;sunken_eyes;fatigue,Severe,"Caloric deficiency causing severe wasting and weakness. It occurs in extreme malnutrition.","High-calorie diet;Gradual refeeding;Medical care"
Scurvy,bleeding_gums;weakness;joint_pain;fatigue,Mild,"Vitamin C deficiency affecting collagen synthesis. Causes gum bleeding and poor wound healing.","Eat citrus fruits;Vitamin C supplements"
Rickets,bone_pain;bowed_legs;weakness;growth_delay,Moderate,"Vitamin D deficiency in children causing soft, deformed bones. Early treatment prevents permanent changes.","Vitamin D intake;Sunlight;Calcium supplements"
Obesity,weight_gain;fatigue;joint_pain;breathlessness,Chronic,"Excess body fat accumulation leading to metabolic disorders. It increases risk of diabetes and heart disease.","Balanced diet;Exercise;Lifestyle modification"
Hypercholesterolemia,high_cholesterol;fatigue;chest_pain,Chronic,"Elevated blood cholesterol increasing risk of heart attack. Often linked with poor diet and genetics.","Diet control;Exercise;Medication"

# ------------------ CANCER & ONCOLOGY ------------------
Breast Cancer,lump_in_breast;pain;fatigue;weight_loss,Severe,"A malignant tumor in breast tissue, often detected as a lump or skin dimpling. Early detection greatly improves outcomes.","Self-examination;Regular screening;Oncology treatment"
Lung Cancer,cough;chest_pain;shortness_of_breath;weight_loss,Severe,"A cancer starting in lung tissue often linked with smoking or pollutants. Persistent cough and fatigue are early signs.","Avoid smoking;CT scan screening;Chemotherapy"
Colon Cancer,blood_in_stool;fatigue;abdominal_pain;weight_loss,Severe,"Cancer of the large intestine that grows silently for years. Detected through colonoscopy and biopsy.","High-fiber diet;Screening tests;Surgery"
Pancreatic Cancer,abdominal_pain;jaundice;weight_loss;fatigue,Severe,"A deadly cancer with few early symptoms, often discovered late. It affects digestion and liver function.","Avoid smoking;Healthy diet;Early testing if family history"
Liver Cancer,jaundice;abdominal_pain;fatigue;weight_loss,Severe,"A cancer that develops from chronic hepatitis or cirrhosis. Causes yellowing of skin and upper-abdominal pain.","Avoid alcohol;Hepatitis prevention;Oncology care"
Leukemia,fever;fatigue;bruising;weight_loss,Severe,"A cancer of blood-forming tissues, disrupting white blood cell function. Leads to frequent infections and bleeding.","Chemotherapy;Bone marrow transplant;Regular blood tests"
Lymphoma,swollen_lymph_nodes;fever;night_sweats;fatigue,Severe,"Cancer of lymphatic system causing immune dysfunction. Symptoms include painless lymph node swelling and fever.","Chemotherapy;Radiation;Medical monitoring"
Skin Cancer,skin_lesion;itching;bleeding_mole;discoloration,Severe,"Abnormal skin cell growth due to UV exposure. Early recognition of changing moles is crucial.","Avoid sun;Use sunscreen;Dermatologist check"
Prostate Cancer,frequent_urination;fatigue;back_pain;pelvic_pain,Severe,"Common in older men, this cancer grows slowly in the prostate gland. Regular PSA screening detects early cases.","Regular screening;Healthy diet;Treatment per stage"
Ovarian Cancer,abdominal_bloating;fatigue;weight_loss;nausea,Severe,"A malignancy of the ovaries that spreads silently. Early stages have vague symptoms like bloating and discomfort.","Regular pelvic check;Ultrasound;Surgery"

# ------------------ GENETIC & CONGENITAL DISORDERS ------------------
Down Syndrome,flat_face;learning_difficulty;delayed_growth,Chronic,"A chromosomal disorder (Trisomy 21) causing intellectual disability and distinctive features. Early therapy improves development.","Speech therapy;Special education;Medical follow-up"
Cystic Fibrosis,cough;shortness_of_breath;salty_skin;weight_loss,Chronic,"A genetic disorder affecting mucus glands and lungs. Leads to chronic lung infections and poor digestion.","Airway clearance;Antibiotics;High-calorie diet"
Sickle Cell Anemia,fatigue;pain;fever;yellow_skin,Chronic,"Inherited blood disorder causing abnormally shaped red blood cells. Results in pain crises and anemia.","Hydration;Pain relief;Avoid cold"
Hemophilia,excessive_bleeding;bruising;joint_pain,Severe,"Genetic clotting disorder causing prolonged bleeding. Mostly affects males due to X-linked mutation.","Avoid injuries;Clotting factor therapy"
Thalassemia,fatigue;pale_skin;weakness;enlarged_spleen,Chronic,"A hereditary anemia causing reduced hemoglobin production. Requires lifelong blood transfusion in severe forms.","Regular transfusion;Iron chelation;Genetic counseling"
Turner Syndrome,short_stature;infertility;swelling;heart_defects,Chronic,"A genetic disorder in females missing one X chromosome. Causes growth delay and infertility.","Hormone therapy;Heart monitoring;Supportive care"
Klinefelter Syndrome,tall_stature;infertility;fatigue;learning_difficulty,Chronic,"Genetic condition in males with extra X chromosome. Leads to low testosterone and learning issues.","Testosterone therapy;Counseling;Regular check-ups"
Marfan Syndrome,tall_build;joint_pain;chest_pain;vision_problems,Chronic,"A connective tissue disorder affecting heart and eyes. People are tall and at risk of aortic rupture.","Avoid heavy exercise;Heart monitoring;Genetic counseling"
Albinism,white_hair;light_skin;poor_vision;sensitivity_to_light,Chronic,"Inherited condition with lack of melanin pigment. Affects skin protection and vision.","Avoid sun exposure;Use sunglasses;Skin protection"
Fragile X Syndrome,learning_difficulty;anxiety;behavioral_problems,Chronic,"A genetic cause of intellectual disability, more common in males. It may present with hyperactivity and speech delay.","Behavioral therapy;Special education;Family support"

# ------------------ EYE & EAR DISORDERS ------------------
Cataract,blurred_vision;glare;poor_night_vision,Moderate,"Clouding of the eye lens causing gradual vision loss. Surgery restores normal sight.","Wear sunglasses;Regular eye exams;Surgery if needed"
Glaucoma,blurred_vision;eye_pain;headache;halos_around_lights,Severe,"Increased eye pressure damages optic nerve. Leads to permanent vision loss if untreated.","Eye drops;Regular eye check;Surgery in severe cases"
Conjunctivitis,red_eyes;itching;watering;swelling,Mild,"Also called pink eye, it’s inflammation of the eye membrane. Caused by infection or allergy.","Avoid touching eyes;Use prescribed drops;Maintain hygiene"
Macular Degeneration,blurred_vision;distorted_vision;central_blind_spot,Chronic,"Aging-related damage to retina’s center (macula). It causes progressive vision loss in older adults.","Healthy diet;Avoid smoking;Eye supplements"
Retinal Detachment,flashes_of_light;vision_loss;floaters,Severe,"Separation of retina from its layer leading to blindness. Requires emergency surgery.","Seek immediate care;Avoid heavy activity;Eye protection"
Otitis Media,ear_pain;hearing_loss;fever;irritability,Moderate,"Middle ear infection common in children. Causes pain and fluid buildup behind the eardrum.","Pain relief;Keep ears dry;Antibiotics if bacterial"
Otitis Externa,itching;ear_pain;discharge;swelling,Mild,"Infection of outer ear canal caused by moisture (swimmer’s ear). It leads to itching and pain.","Avoid water;Use ear drops;Keep ear clean"
Tinnitus,ringing_in_ears;hearing_loss;irritability,Chronic,"A persistent ringing or buzzing in the ears without external sound. Often caused by loud noise exposure.","Avoid loud noise;Relaxation techniques;Hearing test"
Meniere’s Disease,dizziness;ringing_ears;hearing_loss;nausea,Chronic,"Inner ear disorder causing vertigo and hearing loss. Attacks may last hours and cause imbalance.","Low-salt diet;Avoid caffeine;Medication"
Color Blindness,difficulty_distinguishing_colors;eye_strain,Chronic,"Inherited condition affecting color perception. Commonly red-green color blindness in men.","Color aids;Avoid confusion in labeling;Genetic counseling"

# ------------------ AUTOIMMUNE & INFLAMMATORY ------------------
Rheumatoid Arthritis,joint_pain;swelling;stiffness;fatigue,Chronic,"An autoimmune disease attacking joint linings. It causes pain, deformity, and disability if untreated.","Medication;Exercise;Low-stress life"
Lupus,fatigue;skin_rash;joint_pain;fever,Chronic,"An autoimmune disease damaging multiple organs and skin. Triggers include stress and sunlight.","Avoid sunlight;Medication;Regular tests"
Sjögren’s Syndrome,dry_mouth;dry_eyes;fatigue;joint_pain,Chronic,"An autoimmune disorder affecting tear and saliva glands. Causes dryness and discomfort in mouth and eyes.","Stay hydrated;Eye drops;Medication"
Psoriatic Arthritis,joint_pain;scaling_skin;fatigue;stiffness,Chronic,"Combination of psoriasis and arthritis symptoms. It affects both skin and joints.","Moisturizer;Anti-inflammatory drugs;Exercise"
Vasculitis,fever;rash;joint_pain;fatigue,Severe,"Inflammation of blood vessels reducing blood flow. It can damage organs if untreated.","Steroids;Avoid infection;Medical care"
Autoimmune Hepatitis,abdominal_pain;jaundice;fatigue;dark_urine,Chronic,"The immune system attacks liver cells causing inflammation. Early treatment prevents cirrhosis.","Medication;Avoid alcohol;Regular liver function tests"
Guillain-Barré Syndrome,weakness;numbness;paralysis;tingling,Severe,"A rare condition where the immune system attacks nerves. It can cause paralysis and respiratory failure.","Hospitalization;IV therapy;Physiotherapy"
Celiac Disease,bloating;diarrhea;weight_loss;fatigue,Chronic,"Autoimmune reaction to gluten damaging intestines. Leads to nutrient deficiency and stomach discomfort.","Gluten-free diet;Regular check-ups"
Autoimmune Thyroiditis,fatigue;hair_loss;weight_gain;cold_intolerance,Chronic,"The immune system attacks thyroid tissue leading to hypothyroidism. Common in middle-aged women.","Medication;Monitor TSH;Balanced diet"
Ankylosing Spondylitis,back_pain;stiffness;fatigue;posture_changes,Chronic,"A type of arthritis that fuses spinal bones. Causes pain and reduced flexibility in young adults.","Stretching;Exercise;Medication"

# ------------------ BLOOD & HEMATOLOGICAL DISORDERS ------------------
Anemia,fatigue;pale_skin;shortness_of_breath;dizziness,Moderate,"Reduced hemoglobin causes decreased oxygen delivery. Often due to iron deficiency or chronic disease.","Iron supplements;Leafy greens;Medical follow-up"
Leukemia,fever;fatigue;bruising;infections,Severe,"A cancer of blood and bone marrow causing overproduction of white cells. Leads to weakness and recurrent infections.","Chemotherapy;Transplant;Follow-up"
Thalassemia,fatigue;pale_skin;weakness;enlarged_spleen,Chronic,"Inherited anemia due to defective hemoglobin. Requires periodic blood transfusions.","Transfusion;Chelation;Genetic counseling"
Sickle Cell Disease,joint_pain;fever;fatigue;yellow_skin,Chronic,"Red cells assume a sickle shape blocking blood flow. Causes pain crises and organ damage.","Hydration;Avoid cold;Pain relief"
Hemophilia,prolonged_bleeding;bruises;joint_pain,Severe,"Inherited bleeding disorder due to clotting factor deficiency. Even small cuts may cause long bleeding.","Avoid injury;Factor therapy;Medical ID tag"
Polycythemia,headache;dizziness;fatigue;itching,Chronic,"Abnormal increase in red blood cells thickens blood. Raises risk of stroke or clots.","Hydration;Blood removal;Medication"
Thrombocytopenia,bruising;bleeding;fatigue;nosebleeds,Moderate,"Low platelet count leading to easy bleeding. Often caused by infection or drugs.","Avoid injury;Monitor counts;Doctor care"
Lymphoma,swollen_lymph_nodes;fever;night_sweats;fatigue,Severe,"Cancer of lymph system causing immune dysfunction. Detected by biopsy or imaging.","Chemotherapy;Radiation;Rest"
Myeloma,bone_pain;fatigue;weakness;frequent_infections,Severe,"A cancer of plasma cells in bone marrow. Leads to brittle bones and kidney issues.","Chemotherapy;Pain control;Hydration"
Iron Overload,abdominal_pain;fatigue;dark_skin;joint_pain,Chronic,"Excess iron storage in body tissues damages liver and heart. Usually genetic (hemochromatosis).","Limit red meat;Blood removal;Doctor monitoring"

# ------------------ VIRAL INFECTIONS ------------------
Influenza,fever;cough;headache;fatigue;chills,Moderate,"A contagious viral infection affecting the respiratory system. Symptoms resemble cold but with higher fever and body pain.","Rest;Hydration;Antiviral medication"
Common Cold,fever;cough;runny_nose;congestion;tiredness,Mild,"A mild viral infection of the upper airways. It’s self-limiting but spreads easily through droplets.","Rest;Warm fluids;Avoid close contact"
COVID-19,fever;cough;shortness_of_breath;loss_of_smell;fatigue,Severe,"A contagious coronavirus infection causing respiratory distress. Severe cases affect lungs and oxygen levels.","Isolation;Mask;Monitor oxygen;Seek medical help"
Respiratory Syncytial Virus (RSV),fever;cough;wheezing;runny_nose,Moderate,"A viral infection common in infants causing bronchiolitis. It spreads through droplets and close contact.","Hydration;Rest;Avoid cold air"
Hepatitis A,fever;jaundice;fatigue;abdominal_pain;nausea,Moderate,"A liver infection caused by contaminated food or water. It’s preventable with vaccination.","Hand hygiene;Safe water;Vaccination"
Hepatitis B,fever;jaundice;dark_urine;abdominal_pain,Severe,"A liver infection spread via blood and body fluids. Chronic cases may lead to liver failure or cancer.","Vaccination;Avoid sharing needles;Safe sex"
Hepatitis C,fatigue;jaundice;joint_pain;abdominal_pain,Severe,"A blood-borne liver disease that can cause chronic infection. Early detection reduces liver damage risk.","Regular screening;Avoid unsterile needles"
Hepatitis E,fever;jaundice;nausea;vomiting;fatigue,Moderate,"A waterborne viral infection affecting the liver. Common in developing countries with poor sanitation.","Safe drinking water;Handwashing"
Zika Virus,fever;rash;red_eyes;joint_pain,Moderate,"A mosquito-borne viral infection causing mild illness in adults. Dangerous during pregnancy due to birth defects.","Avoid mosquitoes;Use repellents"
Chikungunya,fever;joint_pain;rash;headache;fatigue,Moderate,"A mosquito-borne viral fever causing severe joint pain. Symptoms resemble dengue but with less bleeding.","Rest;Pain relief;Avoid mosquito bites"
Dengue Fever,fever;rash;joint_pain;fatigue;headache;muscle_pain,Severe,"A mosquito-borne viral illness causing low platelets and bleeding risk. Severe dengue can be life-threatening.","Hydration;Monitor platelets;Avoid mosquitoes"
Yellow Fever,fever;jaundice;muscle_pain;vomiting,Severe,"A viral infection transmitted by mosquitoes. It affects the liver and kidneys and is preventable by vaccination.","Vaccination;Hydration;Avoid mosquito bites"
Ebola Virus,fever;vomiting;bleeding;fatigue;diarrhea,Severe,"A severe hemorrhagic fever with high fatality. It spreads through direct contact with body fluids.","Isolation;Protective gear;Supportive care"
Rabies,fever;tingling;anxiety;hydrophobia;confusion,Severe,"A fatal viral infection transmitted through animal bites. It affects the brain and nervous system.","Vaccination;Immediate medical care"
Herpes Simplex,blisters;itching;burning_pain;fever,Moderate,"A viral infection causing painful blisters around mouth or genitals. It remains dormant and can reactivate.","Antiviral therapy;Avoid skin contact during outbreak"
Chickenpox,fever;itching;rash;blisters,Moderate,"A viral infection causing itchy rashes and blisters. Mostly mild but contagious until all blisters dry.","Isolation;Hydration;Avoid scratching"
Measles,fever;rash;cough;runny_nose;red_eyes,Severe,"A contagious viral disease with rash and respiratory symptoms. It can lead to pneumonia or brain inflammation.","Vaccination;Rest;Hydration"
Mumps,fever;swollen_jaw;painful_swallowing,Moderate,"A viral infection of salivary glands causing jaw swelling and pain. Preventable by MMR vaccine.","Vaccination;Hydration;Rest"
Rubella,fever;rash;swollen_glands;joint_pain,Mild,"A mild viral infection with pink rash, dangerous in pregnancy. Preventable through MMR vaccination.","Vaccination;Avoid contact with pregnant women"
Polio,weakness;paralysis;fever;muscle_pain,Severe,"A viral disease affecting nerves and causing paralysis. Eradicated in many regions through immunization.","Vaccination;Rehabilitation;Hygiene"

# ------------------ BACTERIAL INFECTIONS ------------------
Tuberculosis,fever;cough;night_sweats;weight_loss;chest_pain,Severe,"A bacterial infection of the lungs caused by Mycobacterium tuberculosis. It spreads through air droplets.","Antibiotics;Regular treatment;Avoid crowd"
Typhoid Fever,fever;headache;abdominal_pain;constipation;nausea,Severe,"A bacterial disease from contaminated food or water. Causes prolonged fever and weakness.","Antibiotics;Hydration;Avoid street food"
Leprosy,skin_lesions;numbness;weakness;fatigue,Chronic,"A chronic bacterial infection affecting skin and nerves. Curable with multidrug therapy if detected early.","Regular treatment;Avoid close contact"
Diphtheria,sore_throat;fever;fatigue;swollen_neck,Severe,"A bacterial throat infection producing toxins. It may block airways if untreated.","Vaccination;Antibiotics"
Tetanus,muscle_stiffness;lockjaw;spasms;fever,Severe,"A bacterial infection releasing toxins causing muscle rigidity. Vaccination prevents it effectively.","Vaccination;Wound cleaning;Emergency care"
Pertussis,severe_cough;vomiting;runny_nose;fatigue,Moderate,"Also known as whooping cough, a respiratory bacterial disease. Dangerous in infants and unvaccinated people.","Vaccination;Antibiotics;Rest"
Cholera,diarrhea;vomiting;dehydration;fatigue,Severe,"A bacterial infection from contaminated water causing severe dehydration. Without treatment, it’s fatal.","ORS;Clean water;Rehydration therapy"
Plague,fever;chills;swollen_lymph_nodes;fatigue,Severe,"A rare bacterial infection spread by fleas on rodents. It can lead to septicemia or pneumonia.","Antibiotics;Avoid rodents;Hygiene"
Scarlet Fever,fever;rash;sore_throat;red_tongue,Moderate,"A bacterial illness caused by Streptococcus infection. It commonly affects children after strep throat.","Antibiotics;Rest;Hydration"
MRSA Infection,boils;pus;fever;pain,Severe,"Methicillin-resistant Staphylococcus aureus causes skin and wound infections. It’s resistant to many antibiotics.","Hygiene;Doctor consultation;Avoid sharing towels"
Lyme Disease,fever;rash;joint_pain;fatigue,Moderate,"A bacterial infection spread by tick bites. It can affect joints and nervous system if untreated.","Avoid tick bites;Antibiotics"
Leptospirosis,fever;chills;muscle_pain;vomiting;headache,Severe,"A bacterial infection from water contaminated by animal urine. It may affect kidneys and liver.","Avoid contaminated water;Wear boots;Antibiotics"
Meningococcal Meningitis,fever;headache;stiff_neck;vomiting,Severe,"A bacterial infection of membranes covering brain and spine. Rapid treatment is crucial to prevent death.","Antibiotics;Vaccination;Hydration"

# ------------------ FUNGAL INFECTIONS ------------------
Fungal Infection,itching;redness;scaling;burning,Mild,"A skin infection caused by dermatophyte fungi. Commonly affects groin, feet, or scalp.","Keep dry;Antifungal cream;Avoid tight clothes"
Candidiasis,itching;white_patches;burning;discomfort,Moderate,"Yeast infection caused by Candida, affecting mouth or genitals. Common in diabetes or antibiotic use.","Antifungal treatment;Maintain hygiene"
Ringworm,itchy_rash;red_patches;scaling;hair_loss,Mild,"A fungal skin infection forming circular rashes. Highly contagious through contact or towels.","Antifungal cream;Avoid sharing clothes"
Athlete’s Foot,itching;peeling_skin;redness;odor,Mild,"Fungal infection between toes due to moisture. Common in athletes or tight shoes.","Keep feet dry;Antifungal spray;Foot hygiene"
Nail Fungus,thick_nails;discoloration;fragility,Mild,"Fungal infection under nails causing thickening and breakage. Slow to heal but treatable.","Antifungal lacquer;Trim nails;Avoid damp shoes"
Oral Thrush,white_patches;tongue_pain;dry_mouth,Moderate,"Fungal infection of the mouth caused by Candida. Common in immunocompromised individuals.","Antifungal lozenges;Oral hygiene"
Histoplasmosis,fever;cough;fatigue;chest_pain,Severe,"Fungal infection from soil contaminated with bird droppings. Affects lungs and can spread to organs.","Avoid dust;Antifungal drugs;Medical care"
Aspergillosis,cough;fever;shortness_of_breath;fatigue,Severe,"Lung infection caused by inhaling Aspergillus spores. Dangerous in people with weak immunity.","Avoid moldy areas;Medication;Monitor lungs"

# ------------------ PARASITIC INFECTIONS ------------------
Malaria,fever;chills;vomiting;headache;sweating,Severe,"A mosquito-borne parasitic infection causing cyclic fever. It can damage liver and red blood cells.","Mosquito control;Antimalarial drugs;Hydration"
Amoebiasis,diarrhea;stomach_pain;fever;fatigue,Moderate,"Parasitic intestinal infection by Entamoeba histolytica. Causes bloody diarrhea and cramps.","Clean water;Hygiene;Medication"
Giardiasis,diarrhea;gas;cramps;bloating,Mild,"An intestinal infection caused by Giardia parasite. Spread by contaminated water or food.","Boil water;Avoid uncooked food"
Toxoplasmosis,fever;fatigue;swollen_nodes;headache,Moderate,"Parasitic infection often spread by cats or undercooked meat. Dangerous in pregnancy.","Cook meat well;Avoid cat litter;Medication"
Schistosomiasis,fever;abdominal_pain;bloody_urine;fatigue,Severe,"A waterborne parasitic disease caused by flukes. Common in tropical regions with stagnant water.","Avoid swimming in lakes;Medication"
Tapeworm Infection,abdominal_pain;nausea;weight_loss;weakness,Moderate,"Intestinal parasite from contaminated meat. Causes malnutrition and discomfort.","Cook meat properly;Deworming tablets"
Pinworm Infection,itching_anus;restlessness;sleep_disturbance,Mild,"Common in children, causes anal itching due to worm eggs. Easily spreads through contaminated hands.","Handwashing;Trim nails;Medication"
Leishmaniasis,fever;weight_loss;skin_ulcers;fatigue,Severe,"Parasitic infection spread by sandfly bites. It affects skin, spleen, and liver.","Mosquito nets;Medication;Avoid bites"

# ------------------ ENT INFECTIONS ------------------
Sinusitis,headache;facial_pain;blocked_nose;congestion;cough,Moderate,"Sinus inflammation causing pressure and headache. Often follows cold or allergy.","Steam inhalation;Hydration;Rest"
Tonsillitis,sore_throat;fever;difficulty_swallowing;cough,Moderate,"Inflammation of tonsils caused by viral or bacterial infection. Common in school-age children.","Salt gargle;Antibiotics if bacterial"
Pharyngitis,throat_pain;fever;dry_cough;fatigue,Mild,"Inflammation of the throat usually viral. Causes irritation and pain when swallowing.","Warm fluids;Rest;Avoid cold drinks"
Otitis Media,ear_pain;fever;hearing_loss;irritability,Moderate,"Middle ear infection due to bacteria or virus. Common in infants after a cold.","Pain relief;Keep ears dry;Doctor check"
Laryngitis,hoarse_voice;sore_throat;dry_cough;fever,Mild,"Voice box inflammation causing hoarseness and pain. Often due to overuse or viral infection.","Voice rest;Warm fluids"
Rhinitis,runny_nose;sneezing;itching;congestion,Mild,"Inflammation of nasal mucosa due to allergy or infection. Common in seasonal allergies.","Avoid allergens;Antihistamines;Nasal spray"

# ------------------ GENETIC & HEREDITARY DISORDERS ------------------
Cystic Fibrosis,cough;thick_mucus;shortness_of_breath;weight_loss,Chronic,"A genetic disorder affecting the lungs and digestive system. Mucus builds up causing frequent infections.","Airway clearance;Antibiotics;High-calorie diet"
Sickle Cell Anemia,fatigue;pain;fever;jaundice,Chronic,"Inherited disorder causing red blood cells to become crescent-shaped. Leads to pain crises and anemia.","Hydration;Pain control;Avoid cold"
Thalassemia,fatigue;pale_skin;weakness;enlarged_spleen,Chronic,"Inherited blood disorder reducing hemoglobin. Requires regular transfusions for severe cases.","Blood transfusion;Iron chelation;Genetic counseling"
Hemophilia,bleeding;bruises;joint_pain,Severe,"A genetic clotting disorder causing prolonged bleeding. Mostly affects males due to X-linked inheritance.","Avoid injuries;Clotting factor therapy"
Marfan Syndrome,tall_stature;long_limbs;chest_pain;vision_problems,Chronic,"A connective tissue disorder affecting heart, eyes, and skeleton. Increases risk of aortic rupture.","Avoid strenuous activity;Heart monitoring"
Huntington’s Disease,memory_loss;involuntary_movements;irritability,Chronic,"An inherited neurodegenerative disease that affects movement and cognition. Symptoms worsen gradually over years.","Genetic counseling;Supportive care"
Muscular Dystrophy,muscle_weakness;fatigue;walking_difficulty,Chronic,"A group of inherited diseases causing progressive muscle degeneration. Often starts in childhood.","Physiotherapy;Braces;Supportive care"
Phenylketonuria (PKU),mental_retardation;seizures;skin_rash;musty_odor,Chronic,"A metabolic genetic disorder where the body can’t process phenylalanine. Untreated, it leads to brain damage.","Low-protein diet;Early screening"
Albinism,light_skin;poor_vision;sun_sensitivity;white_hair,Chronic,"Inherited condition lacking melanin pigment. Increases risk of sunburn and vision problems.","Avoid sun;Use sunglasses;Regular eye check"
Tay-Sachs Disease,weakness;seizures;vision_loss;developmental_delay,Severe,"A rare inherited disorder destroying nerve cells in the brain. It’s fatal in early childhood.","Genetic counseling;Supportive care"

# ------------------ RARE DISEASES ------------------
Amyloidosis,fatigue;swelling;weight_loss;tingling,Chronic,"Abnormal protein deposits (amyloid) build up in organs. It affects the heart, kidneys, and nerves.","Medication;Monitor organ function"
Addison’s Disease,fatigue;dizziness;low_blood_pressure;weight_loss,Chronic,"Adrenal glands fail to produce hormones like cortisol. Causes dehydration and muscle weakness.","Hormone replacement;Salt intake;Medical supervision"
Cushing’s Syndrome,weight_gain;round_face;muscle_weakness;fatigue,Chronic,"Excess cortisol from tumor or medication. Leads to obesity and fragile skin.","Hormone therapy;Surgery if needed"
Wilson’s Disease,jaundice;fatigue;tremors;personality_change,Chronic,"A rare inherited liver disease causing copper buildup. It affects brain and liver function.","Low-copper diet;Medication;Monitor liver"
Gaucher’s Disease,enlarged_spleen;fatigue;bone_pain;bruising,Chronic,"A genetic enzyme deficiency causing fat accumulation in organs. Causes anemia and bone pain.","Enzyme replacement;Medical therapy"
Hemochromatosis,fatigue;joint_pain;dark_skin;abdominal_pain,Chronic,"Inherited condition causing excessive iron absorption. Iron deposits damage organs over time.","Blood removal;Avoid iron supplements"
Myasthenia Gravis,muscle_weakness;fatigue;drooping_eyelids;difficulty_swallowing,Chronic,"An autoimmune disorder causing muscle weakness. Worsens with activity and improves with rest.","Medication;Rest;Avoid overheating"
Scleroderma,skin_thickening;stiffness;swelling;fatigue,Chronic,"A connective tissue disease causing hardening of skin and organs. It reduces flexibility and blood flow.","Moisturizers;Avoid cold;Physiotherapy"
Ehlers-Danlos Syndrome,joint_hyperflexibility;skin_fragility;bruising,Chronic,"A connective tissue disorder making skin stretchy and fragile. Increases risk of dislocation and bleeding.","Avoid trauma;Supportive care"
Sarcoidosis,cough;fatigue;chest_pain;rash,Chronic,"Inflammatory disease forming small clumps in lungs and lymph nodes. It can affect multiple organs.","Medication;Avoid smoking;Regular follow-up"

# ------------------ CANCER SUBTYPES ------------------
Leukemia,fever;fatigue;bruising;weight_loss,Severe,"Cancer of blood-forming tissues leading to abnormal white cells. Causes weakness and recurrent infections.","Chemotherapy;Transplant;Follow-up"
Lymphoma,swollen_lymph_nodes;fever;night_sweats;fatigue,Severe,"Cancer of lymphatic system impairing immunity. Detected by biopsy or scan.","Chemotherapy;Radiation;Rest"
Multiple Myeloma,bone_pain;fatigue;weakness;frequent_infections,Severe,"A cancer of plasma cells affecting bones and kidneys. Causes brittle bones and anemia.","Chemotherapy;Pain control;Hydration"
Melanoma,mole_change;itching;bleeding;fatigue,Severe,"A serious skin cancer developing from moles. Early detection ensures high survival rate.","Use sunscreen;Skin screening"
Basal Cell Carcinoma,skin_lesion;redness;scaly_patch;bleeding,Mild,"Most common skin cancer caused by UV exposure. Rarely spreads but causes local damage.","Avoid sun;Dermatologist check"
Squamous Cell Carcinoma,skin_ulcer;bleeding;painful_lesion,Moderate,"A skin cancer growing in outer layers due to UV or radiation. Can spread to lymph nodes if ignored.","Surgery;Avoid sun;Regular screening"
Brain Tumor,headache;nausea;confusion;seizures,Severe,"Abnormal cell growth inside the brain or spinal cord. May be benign or malignant.","Surgery;Radiation;Rehabilitation"
Thyroid Cancer,neck_swelling;voice_change;fatigue;weight_loss,Severe,"A tumor in the thyroid gland often detected as a neck lump. Early stages are curable.","Surgery;Hormone therapy"
Bladder Cancer,blood_in_urine;fatigue;pelvic_pain,Severe,"Malignant tumor in bladder lining causing urinary symptoms. Often linked to smoking or chemicals.","Hydration;Avoid tobacco;Surgery"
Bone Cancer,bone_pain;swelling;fatigue;weakness,Severe,"Cancer originating in bone tissue causing persistent pain. Requires chemotherapy and surgery.","Pain relief;Rehab;Oncology care"

# ------------------ METABOLIC & LIFESTYLE DISORDERS ------------------
Obesity,weight_gain;fatigue;joint_pain;breathlessness,Chronic,"Excess body fat increases risk of diabetes and heart disease. Caused by overeating and inactivity.","Exercise;Diet control;Healthy lifestyle"
Type 2 Diabetes,excessive_thirst;fatigue;blurred_vision;frequent_urination,Chronic,"Metabolic disorder where the body resists insulin. Leads to nerve and kidney damage over time.","Diet management;Medication;Exercise"
Type 1 Diabetes,frequent_urination;weight_loss;thirst;fatigue,Chronic,"Autoimmune destruction of insulin-producing cells. Usually diagnosed in children or young adults.","Insulin therapy;Blood sugar monitoring"
